cid,comment_id,product_id,guid,content,create_time,reference_id,reference_time,score,nickname,user_level,is_mobile,user_client
0,12707209098,3303098,ba00b397-ef74-406d-aa46-f3652b2bb07b,好好好好好好好好好好吃，好优惠，物流快，谢了亲。客服好,2019-4-29 17:53,3303098,2019-4-28 13:46,5,陈子俊5201314,钻石会员,TRUE,来自京东Android客户端
1,11621960674,3303098,52e7d2fc-aab1-427a-867c-1fe201759036,东西收到以后马上查看，发现与图片描述一致，超级喜欢，卖家发货速度很快，，服务也很到位，给老板点个赞，下次还会来购买.........,2018-6-21 9:05,3303098,2018-6-7 0:57,5,j***c,钻石会员,TRUE,来自京东Android客户端
2,12469464071,3303098,85ec2b33-090a-4bd2-bf78-718a715e18e4,"?
　　一、 鞋鞋面料 做工都很不错 鞋型也很漂亮 很满意

　　二、 鞋子还不错，这个价格还值，大小正好，我，斤，穿L码正好。

　　三、 宝贝不错发货很快!

　　四、 服务好!礼品还真是漂亮，超值!但，有一颗小珠有些瑕疵，这是难免的。尺寸比想象中的要小。总体还不错!

　　五、 不错的卖家，发货很快的说!

　　六、 还可以，一分价钱一分货

　　七、 老板性格好，宝贝也好，戴上去也很舒服，超赞.

　　八、 买了很多东西 都非常满意 很好的卖家 我会常来的 折扣卡可以升到顶级了吧

　　九、 好看，穿起来也舒服

　　十、 性价比很高，这样的价能买到这质量非常不错。

　　十一、 店主挺热情的，看图片防晒衣很大，但是实物挺短的，不会肥大，料子不错，不会闷。穿着很合适，是宽松的，但是不小，满意。

　　十二、 东西很漂亮，卖家服务态度很好，下次还来。",2019-2-20 11:54,3303098,2019-2-1 0:18,5,尼***子,PLUS会员,TRUE,来自京东Android客户端
3,12469461124,3303098,8114ff5b-3ad5-423e-ac46-68539679fc23,"?
　　一、 鞋鞋面料 做工都很不错 鞋型也很漂亮 很满意

　　二、 鞋子还不错，这个价格还值，大小正好，我，斤，穿L码正好。

　　三、 宝贝不错发货很快!

　　四、 服务好!礼品还真是漂亮，超值!但，有一颗小珠有些瑕疵，这是难免的。尺寸比想象中的要小。总体还不错!

　　五、 不错的卖家，发货很快的说!

　　六、 还可以，一分价钱一分货

　　七、 老板性格好，宝贝也好，戴上去也很舒服，超赞.

　　八、 买了很多东西 都非常满意 很好的卖家 我会常来的 折扣卡可以升到顶级了吧

　　九、 好看，穿起来也舒服

　　十、 性价比很高，这样的价能买到这质量非常不错。

　　十一、 店主挺热情的，看图片防晒衣很大，但是实物挺短的，不会肥大，料子不错，不会闷。穿着很合适，是宽松的，但是不小，满意。

　　十二、 东西很漂亮，卖家服务态度很好，下次还来。",2019-2-20 11:54,3303098,2019-2-1 0:20,5,尼***子,PLUS会员,TRUE,来自京东Android客户端
4,12469462033,3303098,7cfbb5a7-0535-40d4-b0c3-21092581c611,"?
　　一、 鞋鞋面料 做工都很不错 鞋型也很漂亮 很满意

　　二、 鞋子还不错，这个价格还值，大小正好，我，斤，穿L码正好。

　　三、 宝贝不错发货很快!

　　四、 服务好!礼品还真是漂亮，超值!但，有一颗小珠有些瑕疵，这是难免的。尺寸比想象中的要小。总体还不错!

　　五、 不错的卖家，发货很快的说!

　　六、 还可以，一分价钱一分货

　　七、 老板性格好，宝贝也好，戴上去也很舒服，超赞.

　　八、 买了很多东西 都非常满意 很好的卖家 我会常来的 折扣卡可以升到顶级了吧

　　九、 好看，穿起来也舒服

　　十、 性价比很高，这样的价能买到这质量非常不错。

　　十一、 店主挺热情的，看图片防晒衣很大，但是实物挺短的，不会肥大，料子不错，不会闷。穿着很合适，是宽松的，但是不小，满意。

　　十二、 东西很漂亮，卖家服务态度很好，下次还来。",2019-2-20 11:53,3303098,2019-2-1 0:21,5,尼***子,PLUS会员,TRUE,来自京东Android客户端
5,12432230695,3303098,f50416a4-ec5b-40a8-92e7-13c561ef4f8f,经常网购，总有大量的包裹收，感觉写评语花掉了我大量的时间和精力！所以在一段时间里，我总是不去评价或者随便写写！但是，我又总是觉得好像有点对不住那些辛苦工作的卖家客服、仓管、老板。于是我写下了一小段话，给我觉得能拿到我五星好评的卖家的宝贝评价里面以示感谢和尊敬！首先，宝贝是性价比很高的，我每次都会先试用再评价的，虽然宝贝不一定是最好的，但在同等的价位里面绝对是表现最棒的。京东的配送绝对是一流的，送货速度快，配送员服务态度好，每样东西都是送货上门。希望京东能再接再厉，做得更大更强，提供更多更好的东西给大家。为京东的商品和服务，,2019-2-2 0:02,3303098,2019-1-30 0:37,5,n***星,PLUS会员,TRUE,来自京东Android客户端
6,12428762492,3303098,db3d7c31-171a-4be8-a015-a121d353608f,油收到，京东物流快，送货到家，服务好，油质好，口感纯，很好的选购。,2019-1-31 15:49,3303098,2019-1-25 17:16,5,现伟228,PLUS会员,TRUE,来自京东Android客户端
7,12708603204,3303098,b35216db-4fc3-4174-bce2-860f2669c63a,快递小哥很给力！辛苦了！晚上下单，第二天下午就到了！,2019-4-30 6:22,3303098,2019-4-28 1:56,5,2019加加加油,金牌会员,TRUE,来自京东Android客户端
8,12707154048,3303098,a00dea61-a732-4062-94f6-65eb152bbcc5,值！值！值！还送货上楼！好评！,2019-4-29 17:38,3303098,2019-4-28 14:07,5,白***人,注册会员,TRUE,来自京东Android客户端
9,12385999021,3303098,6f2c7d89-7bac-4204-b4c5-f19e52d33728,"玉米油炒菜贼香  味道棒极了
价格实惠  配送及时  生产日期是18年12月22日  
还可以接受  保质期半年  色泽清亮  
包装完好",2019-1-18 17:42,3303098,2019-1-16 13:54,5,黎***森,PLUS会员,TRUE,来自京东Android客户端
